t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790261977.327078,1252,0.0369420051574707,27.069456455797503,2.0291805267333984,0.07429999823216349,,0,,,0,0,,,no_face,0,0.004699999408330768,1,,0,,0,0,,0,search_360,0.015300000086426735,1,,
1790261977.4069495,1253,0.07987141609191895,12.520123580245071,2.12860107421875,47.32079999666894,,0,,,0,0,,,no_face,0,0.006399997801054269,1,7.718900000327267,1,12.462099999538623,1,0,27.08649999840418,1,search_360,0.02260000110254623,1,,
1790261977.4259,1254,0.018950462341308594,52.76916108902421,24.955272674560547,12.512799999967683,,0,,,0,0,,,no_face,0,0.006499998562503606,1,,0,12.447799999790732,1,0,,0,search_360,0.023600001441081986,1,,
1790261977.5366416,1255,0.11074161529541016,9.030029021451762,2.1238327026367188,76.79840000128024,,1,,,0,0,,,no_face,0,0.005199999577598646,1,,0,12.856299999839393,1,0,63.88080000033369,1,search_360,0.019999999494757503,1,,
1790261977.559587,1257,0.022945404052734375,43.58171238570241,20.923137664794922,15.418900002259761,,1,,,0,0,,,no_face,0,0.005000001692678779,1,,0,15.35409999996773,1,0,,0,search_360,0.020399998902576044,1,,
1790261977.6568363,1258,0.09724926948547363,10.282853591505615,10.968923568725586,91.03540000069188,,1,,,0,0,,,no_face,0,0.006900001608300954,1,8.028899999771966,1,14.90130000092904,1,0,68.03999999829102,1,search_360,0.024900000425986946,1,,
1790261977.679799,1260,0.02296280860900879,43.54867982515341,11.087894439697266,15.85739999791258,,1,,,0,0,,,no_face,0,0.006000002031214535,1,,0,15.788199998496566,1,0,,0,search_360,0.021600000764010474,1,,
1790261977.7573617,1261,0.07756257057189941,12.892816633417455,1.9941329956054688,70.28820000050473,,0,,,0,0,,,no_face,0,0.005500001861946657,1,,0,12.725500000669854,1,0,57.504799999151146,1,search_360,0.020699997548945248,1,,
1790261977.777308,1262,0.01994633674621582,50.134519071012775,44.56520080566406,14.05720000184374,,0,,,0,0,,,no_face,0,0.005800000508315861,1,,0,13.996300000144402,1,0,,0,search_360,0.020899999071843922,1,,
1790261977.8508756,1263,0.07356762886047363,13.592935037998476,3.947734832763672,57.88190000021132,,0,,,0,0,,,no_face,0,0.007499998901039362,1,8.10279999859631,1,14.555300000210991,1,0,35.16039999885834,1,search_360,0.02609999864944257,1,,
1790261977.8728168,1265,0.021941184997558594,45.576389794410396,4.9839019775390625,14.7925999990548,,0,,,0,0,,,no_face,0,0.006000002031214535,1,,0,14.726400000654394,1,0,,0,search_360,0.02269999822601676,1,,
1790261977.966112,1266,0.09329509735107422,10.718676847904975,3.991365432739258,73.54800000030082,,1,,,0,0,,,no_face,0,0.005300000339047983,1,,0,13.309300000400981,1,0,60.17470000006142,1,search_360,0.020899999071843922,1,,
1790261977.9870577,1267,0.02094578742980957,47.74229679123081,17.96269416809082,14.941000001272187,,1,,,0,0,,,no_face,0,0.006400001439033076,1,,0,14.86260000092443,1,0,,0,search_360,0.025099998310906813,1,,
1790261978.083989,1268,0.09693121910095215,10.31659365553339,6.981611251831055,88.93990000069607,,2,,,0,0,,,no_face,0,0.004400000761961564,1,6.858599997940473,1,,0,0,82.03230000071926,1,search_360,0.014900000678608194,1,,
1790261978.0889754,1270,0.00498652458190918,200.5404733444896,33.41865539550781,0.052299998060334474,,2,,,0,0,,,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.015600002370774746,1,,
1790261978.1681726,1271,0.07919716835021973,12.62671407111269,1.99127197265625,46.15619999822229,,1,,,0,0,,,no_face,0,0.0037999998312443495,1,,0,,0,0,46.11060000024736,1,search_360,0.013599998055724427,1,,
1790261978.173455,1272,0.005282402038574219,189.3078172955407,20.649194717407227,0.044699998397845775,,1,,,0,0,,,no_face,0,0.0037999998312443495,1,,0,,0,0,,0,search_360,0.01170000177808106,1,,
1790261978.2388585,1273,0.06540346145629883,15.289710632030971,1.992940902709961,50.68049999681534,,1,,,0,0,,,no_face,0,0.0035999983083456755,1,6.51809999908437,1,,0,0,44.115400000009686,1,search_360,0.014400000509340316,1,,
1790261978.2438476,1274,0.004989147186279297,200.43505686705535,23.935556411743164,0.05020000025979243,,1,,,0,0,,,no_face,0,0.004300000000512227,1,,0,,0,0,,0,search_360,0.013100001524435356,1,,
1790261978.3083932,1275,0.0645456314086914,15.49291529380476,2.0210742950439453,42.782500000612345,,1,,,0,0,,,no_face,0,0.0037000027077738196,1,,0,,0,0,42.736700001114514,1,search_360,0.013599998055724427,1,,
1790261978.3279188,1276,0.019525527954101562,51.215004395819086,4.02522087097168,0.06399999983841553,,1,,,0,0,,,no_face,0,0.004400000761961564,1,,0,,0,0,,0,search_360,0.016400001186411828,1,,
1790261978.4181347,1277,0.09021592140197754,11.084517948270713,4.340410232543945,60.050200001569465,,1,,,0,0,,,no_face,0,0.004500001523410901,1,6.615099999180529,1,,0,0,53.382300000521354,1,search_360,0.015699999494245276,1,,
