t,bat,h,yaw
1770328163.689773,52.0,0.0,35.0
1770328163.7208157,52.0,0.0,35.0
1770328163.736732,52.0,0.0,35.0
1770328163.7677367,52.0,0.0,35.0
1770328163.7838528,52.0,0.0,35.0
1770328163.8149047,52.0,0.0,35.0
1770328163.830143,52.0,0.0,35.0
1770328163.86212,52.0,0.0,35.0
1770328163.8770802,52.0,0.0,35.0
1770328163.9239376,52.0,0.0,35.0
1770328170.4361565,50.0,60.0,36.0
1770328170.4960191,50.0,60.0,36.0
1770328170.5112402,50.0,60.0,36.0
1770328170.5420134,50.0,60.0,36.0
1770328170.5575297,50.0,60.0,36.0
1770328170.5878685,50.0,60.0,36.0
1770328170.6031954,50.0,60.0,36.0
1770328170.6351185,50.0,60.0,36.0
1770328170.6518092,50.0,60.0,36.0
1770328170.681886,50.0,60.0,36.0
1770328170.6969337,50.0,60.0,36.0
1770328170.727829,50.0,60.0,36.0
1770328170.7438223,50.0,60.0,36.0
1770328170.7753577,50.0,60.0,36.0
1770328170.7900422,50.0,60.0,36.0
1770328170.8212717,50.0,60.0,36.0
1770328170.837224,50.0,60.0,36.0
1770328170.8676088,50.0,60.0,36.0
1770328170.883155,50.0,60.0,36.0
1770328170.914716,50.0,60.0,36.0
1770328170.9305477,50.0,60.0,36.0
1770328170.9604075,50.0,60.0,36.0
1770328170.9754014,50.0,60.0,36.0
1770328171.0069516,50.0,60.0,36.0
1770328171.0228906,50.0,60.0,36.0
1770328171.0538676,50.0,60.0,36.0
1770328171.0688198,50.0,60.0,36.0
1770328171.0991292,50.0,60.0,36.0
1770328171.1151142,50.0,60.0,36.0
1770328171.1458144,50.0,60.0,36.0
1770328171.1607258,50.0,60.0,36.0
1770328171.1917171,50.0,60.0,36.0
1770328171.207649,50.0,60.0,36.0
1770328171.2395885,50.0,60.0,36.0
1770328171.2554305,50.0,60.0,36.0
1770328171.2857332,50.0,60.0,36.0
1770328171.3015904,50.0,60.0,36.0
1770328171.3333056,50.0,60.0,36.0
1770328171.348351,50.0,60.0,36.0
1770328171.3796492,50.0,60.0,36.0
1770328171.3955562,50.0,60.0,36.0
1770328171.4260883,50.0,60.0,36.0
1770328171.4417274,50.0,60.0,36.0
1770328171.4728796,50.0,60.0,36.0
1770328171.4875643,50.0,60.0,36.0
1770328171.518389,50.0,60.0,36.0
1770328171.533845,50.0,60.0,36.0
1770328171.5648491,50.0,60.0,36.0
1770328171.580166,50.0,60.0,36.0
1770328171.6118371,50.0,60.0,36.0
1770328171.6273606,50.0,60.0,36.0
1770328171.658237,50.0,60.0,36.0
1770328171.674277,50.0,60.0,36.0
1770328171.7060516,50.0,60.0,36.0
1770328171.7212071,50.0,60.0,36.0
1770328171.7521527,50.0,60.0,36.0
1770328171.767597,50.0,60.0,36.0
1770328171.798446,50.0,60.0,36.0
1770328171.8137333,50.0,60.0,36.0
1770328171.8601463,50.0,60.0,36.0
1770328171.8750567,50.0,60.0,36.0
1770328171.9058871,50.0,60.0,36.0
1770328171.9220388,50.0,60.0,36.0
