t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1790248776.858998,4017,0.004998207092285156,200.07174203396298,15.957832336425781,0.05710000004910398,,0,,,0,0,,,no_face,0,0.003200000719516538,1,,0,,0,0,,0,land,0.013299999409355223,1,,
1790248776.9356875,4018,0.07668948173522949,13.039597834974305,1.9378662109375,23.764900000969646,,0,,,0,0,,,no_face,0,0.0039000005926936865,1,,0,,0,0,23.7185000005411,1,land,0.0182999992830446,1,,
1790248776.94618,4019,0.010492563247680664,95.30559658251721,3.5071372985839844,0.09109999882639386,,0,,,0,0,,,no_face,0,0.007700000423938036,1,,0,,0,0,,0,land,0.033599999369471334,1,,
1790248777.014123,4020,0.06794285774230957,14.718250500924649,3.013134002685547,31.50679999998829,,0,,,0,0,,,no_face,0,0.005100000635138713,1,7.482799999706913,1,,0,0,23.970899999767425,1,land,0.02099999983329326,1,,
1790248777.020009,4021,0.005886077880859375,169.89241736876215,8.637189865112305,0.059699999837903306,,0,,,0,0,,,no_face,0,0.004599998646881431,1,,0,,0,0,,0,land,0.021600000764010474,1,,
1790248777.0833514,4022,0.06334233283996582,15.787230358668609,2.0003318786621094,24.159699998563156,,0,,,0,0,,,no_face,0,0.004499999704421498,1,,0,,0,0,24.104000000079395,1,land,0.020700001186924055,1,,
1790248777.11534,4023,0.03198862075805664,31.26111649400015,2.5517940521240234,0.11660000018309802,,0,,,0,0,,,no_face,0,0.008499999239575118,1,,0,,0,0,,0,land,0.05249999958323315,1,,
1790248777.1818173,4024,0.06647729873657227,15.042729157252193,2.6412010192871094,32.43750000001455,,0,,,0,0,,,no_face,0,0.004800000169780105,1,7.855399999243673,1,,0,0,24.527800000214484,1,land,0.022100000933278352,1,,
1790248777.187899,4025,0.006081819534301758,164.4244776353444,9.842395782470703,0.050299999202252366,,0,,,0,0,,,no_face,0,0.004499999704421498,1,,0,,0,0,,0,land,0.01669999983278103,1,,
1790248777.2693877,4026,0.08148860931396484,12.271653773684273,2.7604103088378906,23.81459999924118,,0,,,0,0,,,no_face,0,0.003499999365885742,1,,0,,0,0,23.75179999944521,1,land,0.017700000171316788,1,,
1790248777.278381,4027,0.008993387222290039,111.19281037088093,2.8221607208251953,0.05339999916031957,,0,,,0,0,,,no_face,0,0.004200001058052294,1,,0,,0,0,,0,land,0.018999999156221747,1,,
1790248777.349246,4028,0.07086491584777832,14.1113552176941,1.9991397857666016,36.414299998796196,,0,,,0,0,,,no_face,0,0.005900001269765198,1,6.971500000872766,1,,0,0,29.36529999897175,1,land,0.03119999928458128,1,,
1790248777.3542309,4029,0.004984855651855469,200.60761431031185,10.969877243041992,0.047599998652003706,,0,,,0,0,,,no_face,0,0.004400000761961564,1,,0,,0,0,,0,land,0.016299998605973087,1,,
1790248777.4355607,4030,0.0813298225402832,12.295612713340095,2.5212764739990234,24.077199999737786,,0,,,0,0,,,no_face,0,0.004499999704421498,1,,0,,0,0,24.029100000916515,1,land,0.018799999452312477,1,,
1790248777.4445417,4031,0.008980989456176758,111.34630598104542,0.9984970092773438,0.06159999975352548,,0,,,0,0,,,no_face,0,0.004700001227320172,1,,0,,0,0,,0,land,0.022700000045006163,1,,
