t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790262201.9800196,273,0.006502866744995117,153.77833180568285,2.0253658294677734,0.041299997974419966,,0,,0,0,no_face,0,0.0040000013541430235,1,,0,,0,0,,0,search_360,0.012299999070819467,1
1790262202.065581,274,0.08556151390075684,11.68749773595526,1.024007797241211,21.788699999888195,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,21.74620000005234,1,search_360,0.014500001270789653,1
1790262202.0785477,275,0.012966632843017578,77.12102379288788,0.9977817535400391,0.0503999981447123,,0,,0,0,no_face,0,0.004600002284860238,1,,0,,0,0,,0,search_360,0.015499997971346602,1
1790262202.1451085,276,0.06656074523925781,15.02387024672608,2.9926300048828125,28.524500001367414,,0,,0,0,no_face,0,0.0037000027077738196,1,6.385399999999208,1,,0,0,22.103600000264123,1,search_360,0.01340000017080456,1
1790262202.1491044,277,0.0039958953857421875,250.25680190930788,5.993366241455078,0.03479999941191636,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,,0,0,,0,search_360,0.01089999932446517,1
1790262202.2349863,278,0.08588194847106934,11.643890454312007,1.003265380859375,26.34350000153063,,0,,0,0,no_face,0,0.0029999973776284605,1,,0,,0,0,26.308300002710894,1,search_360,0.012600001355167478,1
1790262202.2459579,279,0.010971546173095703,91.14485636055457,1.9946098327636719,0.04749999789055437,,0,,0,0,no_face,0,0.003999997716164216,1,,0,,0,0,,0,search_360,0.013200002285884693,1
1790262202.3077605,280,0.06180262565612793,16.180542321357617,0.9942054748535156,29.48869999818271,,0,,0,0,no_face,0,0.004699999408330768,1,5.462100001750514,1,,0,0,23.988599998119753,1,search_360,0.014899997040629387,1
1790262202.3122602,281,0.004499673843383789,222.2383298892598,30.367136001586914,0.043099997128592804,,0,,0,0,no_face,0,0.004099998477613553,1,,0,,0,0,,0,search_360,0.01420000262442045,1
1790262202.4011843,282,0.08892416954040527,11.245536564112877,3.078460693359375,22.289799999271054,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,,0,0,22.248299999773735,1,search_360,0.01469999915570952,1
1790262202.4111588,283,0.009974479675292969,100.25585620040157,0.9984970092773438,0.05109999983687885,,0,,0,0,no_face,0,0.004600002284860238,1,,0,,0,0,,0,search_360,0.015300000086426735,1
1790262202.4765975,284,0.06543874740600586,15.281466098298539,2.993345260620117,30.275599998276448,,0,,0,0,no_face,0,0.004999998054699972,1,6.485099998826627,1,,0,0,23.74219999910565,1,search_360,0.017600003047846258,1
1790262202.4835792,285,0.006981611251831055,143.23341187719836,3.989696502685547,0.06270000085351057,,0,,0,0,no_face,0,0.004599998646881431,1,,0,,0,0,,0,search_360,0.014400000509340316,1
1790262202.5743868,286,0.09080767631530762,11.012284870364292,2.508401870727539,24.12180000101216,,0,,0,0,no_face,0,0.0041000021155923605,1,,0,,0,0,24.080400002276292,1,search_360,0.014599998394260183,1
1790262202.5793753,287,0.004988431930541992,200.46379582277876,1.995086669921875,0.03680000008898787,,0,,0,0,no_face,0,0.00419999923906289,1,,0,,0,0,,0,search_360,0.011200001608813182,1
1790262202.651925,288,0.07254981994628906,13.783631727002655,2.991199493408203,34.379100001388,,0,,0,0,no_face,0,0.004300000000512227,1,7.389499998680549,1,,0,0,26.937300001009135,1,search_360,0.027800000680144876,1
1790262202.656756,289,0.004830837249755859,207.00345474286843,11.363029479980469,0.041799998143687844,,0,,0,0,no_face,0,0.004499997885432094,1,,0,,0,0,,0,search_360,0.013100001524435356,1
1790262202.7409174,290,0.08416152000427246,11.881914679644986,3.989696502685547,25.098699999944074,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,,0,0,25.059200001123827,1,search_360,0.01349999729427509,1
1790262202.7459054,291,0.004987955093383789,200.482959705559,0.0,0.04770000305143185,,0,,0,0,no_face,0,0.005100002454128116,1,,0,,0,0,,0,search_360,0.01469999915570952,1
1790262202.8155413,292,0.06963586807250977,14.360415511137589,2.9935836791992188,33.055899999453686,,0,,0,0,no_face,0,0.00540000110049732,1,7.644400000572205,1,,0,0,25.364299999637296,1,search_360,0.017700000171316788,1
1790262202.8214977,293,0.005956411361694336,167.88632269943562,8.975744247436523,0.04669999907491729,,0,,0,0,no_face,0,0.004699999408330768,1,,0,,0,0,,0,search_360,0.014400000509340316,1
