t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787927435.8011854,,0.0528264045715332,18.92992733673331,,31.03959999862127,0.006399990525096655,1,5.8182000066153705,1,8.864100003847852,1,16.335299995262176,1,hover,0.014199991710484028,1
1787927435.8161495,,0.014964103698730469,66.82658849021732,,9.197099978337064,0.007599999662488699,1,,0,9.158800006844103,1,,0,hover,0.015400000847876072,1
1787927435.8560762,,0.039926767349243164,25.04585435762697,,23.65960000315681,0.005700014298781753,1,,0,7.727599993813783,1,15.904200001386926,1,hover,0.013199984095990658,1
1787927435.8735921,,0.017515897750854492,57.090993235057915,,7.585300016216934,0.006199989002197981,1,,0,7.5508999871090055,1,,0,hover,0.012200005585327744,1
1787927435.923451,,0.049858808517456055,20.05663652491596,,27.049199998145923,0.007100024959072471,1,4.415400006109849,1,7.864599989261478,1,14.746100001502782,1,hover,0.014699995517730713,1
1787927435.935403,,0.01195216178894043,83.6668727932816,,6.333099998300895,0.006400019628927112,1,,0,6.292900012340397,1,,0,hover,0.01379998866468668,1
1787927435.9862666,,0.05086350440979004,19.6604620858079,,23.919999977806583,0.006300018867477775,1,,0,8.163099992088974,1,15.727799996966496,1,hover,0.014299992471933365,1
1787927436.01633,,0.030063390731811523,33.26304770212935,,6.427799991797656,0.006500020390376449,1,,0,6.385999993653968,1,,0,hover,0.012899981811642647,1
1787927436.055226,,0.03889608383178711,25.70952912186929,,33.486400003312156,0.006299989763647318,1,5.92349999351427,1,6.751500011887401,1,20.789200003491715,1,hover,0.014499993994832039,1
1787927436.068191,,0.012964963912963867,77.13095128634215,,6.780299998354167,0.006699992809444666,1,,0,6.723700003931299,1,,0,hover,0.014699995517730713,1
1787927436.126037,,0.0578458309173584,17.28733054986543,,21.042300009867176,0.005699985194951296,1,,0,6.138700002338737,1,14.875799999572337,1,hover,0.01300001167692244,1
